Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Alabaster Police Dept,AL,12,      30923,          49,           0,           2,           6,          41,         683,          65,         585,          33,         158.5,            .0,           6.5,          19.4,         132.6,       2208.7,         210.2,       1891.8,         106.7
Albertville Police Dept,AL,3,      21507,           2,           0,           1,           0,           1,          69,          24,          42,           3,,,,,,,,,
Alexander City Police Dept,AL,12,      14936,          95,           2,           2,          15,          76,         688,         125,         536,          27,         636.0,          13.4,          13.4,         100.4,         508.8,       4606.3,         836.9,       3588.6,         180.8
Anniston Police Dept,AL,12,      23051,         504,           5,          14,          92,         393,       2484,         912,       1501,          71,       2186.5,          21.7,          60.7,         399.1,       1704.9,      10776.1,       3956.4,       6511.6,         308.0
Athens Police Dept,AL,12,      22681,          31,           1,           1,          14,          15,         850,         166,         666,          18,         136.7,           4.4,           4.4,          61.7,          66.1,       3747.6,         731.9,       2936.4,          79.4
Atmore Police Dept,AL,12,      10188,          63,           1,           2,           7,          53,         343,          82,         242,          19,         618.4,           9.8,          19.6,          68.7,         520.2,       3366.7,         804.9,       2375.3,         186.5
Auburn Police Dept,AL,12,      54785,         132,           3,          13,          25,          91,       1919,         418,       1450,          51,         240.9,           5.5,          23.7,          45.6,         166.1,       3502.8,         763.0,       2646.7,          93.1
Baldwin County Sheriff Deptartment,AL,12,,         130,           3,           9,          27,          91,         870,         317,         496,          57,,,,,,,,,
Bessemer Police Dept,AL,12,      27585,         582,           4,          20,         164,         394,       3329,         873,       2218,         238,       2109.8,          14.5,          72.5,         594.5,       1428.3,      12068.2,       3164.8,       8040.6,         862.8
Birmingham Police Dept,AL,12,     213266,       3237,          67,         152,         983,       2035,      14788,       4704,       9042,       1042,       1517.8,          31.4,          71.3,         460.9,         954.2,       6934.1,       2205.7,       4239.8,         488.6
Blount County Sheriff Department,AL,12,,          79,           1,           8,           6,          64,         959,         329,         573,          57,,,,,,,,,
Calera Police Dept,AL,3,      11838,           9,           0,           0,           1,           8,          95,          35,          58,           2,,,,,,,,,
Calhoun County Sheriff Department,AL,12,,          22,           0,           8,           3,          11,         791,         322,         468,           1,,,,,,,,,
Chilton County Sheriff Department,AL,12,,          78,           0,           6,           5,          67,         599,         234,         315,          50,,,,,,,,,
Cullman County Sheriff Department,AL,12,,         146,           1,           9,           3,         133,       1165,         359,         739,          67,,,,,,,,,
Cullman Police Dept,AL,12,      14858,          31,           1,           6,          10,          14,         805,          96,         684,          25,         208.6,           6.7,          40.4,          67.3,          94.2,       5418.0,         646.1,       4603.6,         168.3
Daphne Police Dept,AL,12,      22198,          40,           1,           4,           2,          33,         514,          77,         421,          16,         180.2,           4.5,          18.0,           9.0,         148.7,       2315.5,         346.9,       1896.6,          72.1
Dekalb County Sheriff Department,AL,12,,         211,           0,          13,           4,         194,         937,         390,         471,          76,,,,,,,,,
Decatur Police Dept,AL,12,      56126,         240,           2,           9,          80,         149,       2913,         821,       1964,         128,         427.6,           3.6,          16.0,         142.5,         265.5,       5190.1,       1462.8,       3499.3,         228.1
Dothan Police Dept,AL,12,      66275,         319,           5,          30,         100,         184,       2934,         886,       1918,         130,         481.3,           7.5,          45.3,         150.9,         277.6,       4427.0,       1336.9,       2894.0,         196.2
Elmore County Sheriff Department,AL,12,,          52,           3,          13,          10,          26,         812,         339,         428,          45,,,,,,,,,
Enterprise Police Dept,AL,12,      26971,         110,           2,           4,          12,          92,         861,         177,         631,          53,         407.8,           7.4,          14.8,          44.5,         341.1,       3192.3,         656.3,       2339.5,         196.5
Etowah County Sheriff Department,AL,12,,         109,           1,           9,           2,          97,         598,         226,         324,          48,,,,,,,,,
Eufaula Police Dept,AL,12,      13006,          17,           0,           3,           3,          11,         346,          48,         287,          11,         130.7,            .0,          23.1,          23.1,          84.6,       2660.3,         369.1,       2206.7,          84.6
Fairfield Police Dept,AL,12,      11169,         153,           2,           7,          61,          83,       1337,         462,         800,          75,       1369.9,          17.9,          62.7,         546.2,         743.1,      11970.6,       4136.4,       7162.7,         671.5
Fairhope Police Dept,AL,12,      15766,          43,           1,           2,           5,          35,         649,         131,         503,          15,         272.7,           6.3,          12.7,          31.7,         222.0,       4116.5,         830.9,       3190.4,          95.1
Florence Police Dept,AL,12,      39512,         165,           2,          19,          45,          99,       1740,         454,       1223,          63,         417.6,           5.1,          48.1,         113.9,         250.6,       4403.7,       1149.0,       3095.3,         159.4
Foley Police Dept,AL,12,      15049,          54,           0,           4,          15,          35,         665,          87,         549,          29,         358.8,            .0,          26.6,          99.7,         232.6,       4418.9,         578.1,       3648.1,         192.7
Fort Payne Police Dept,AL,12,      14219,          22,           0,           5,           2,          15,         470,          90,         354,          26,         154.7,            .0,          35.2,          14.1,         105.5,       3305.4,         633.0,       2489.6,         182.9
Gadsden Police Dept,AL,12,      36961,         372,           1,          33,         113,         225,       3000,         835,       1969,         196,       1006.5,           2.7,          89.3,         305.7,         608.7,       8116.7,       2259.1,       5327.2,         530.3
Gardendale Police Dept,AL,12,      13960,          27,           0,           1,           7,          19,         642,          91,         533,          18,         193.4,            .0,           7.2,          50.1,         136.1,       4598.9,         651.9,       3818.1,         128.9
Gulf Shores Police Dept,AL,12,      10022,          46,           0,           3,           7,          36,         761,         133,         603,          25,         459.0,            .0,          29.9,          69.8,         359.2,       7593.3,       1327.1,       6016.8,         249.5
