Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2012

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Allen County Sheriff Department,IN,12,,          70,           2,           8,          14,          46,       1022,         203,         760,          59,,,,,,,,,
Anderson Police Dept,IN,12,      56132,         270,           1,          54,          75,         140,       2860,         641,       2012,         207,         481.0,           1.8,          96.2,         133.6,         249.4,       5095.1,       1142.0,       3584.4,         368.8
Auburn Police Dept,IN,12,      12842,          13,           0,           4,           3,           6,         409,          40,         355,          14,         101.2,            .0,          31.1,          23.4,          46.7,       3184.9,         311.5,       2764.4,         109.0
Bartholomew County Sheriff Department,IN,12,,          51,           0,           6,           3,          42,         534,         120,         362,          52,,,,,,,,,
Bedford Police Dept,IN,12,      13466,          38,           0,           8,           4,          26,         556,          75,         459,          22,         282.2,            .0,          59.4,          29.7,         193.1,       4128.9,         557.0,       3408.6,         163.4
Beech Grove Police Dept,IN,12,      14364,          32,           0,           8,          19,           5,         585,         119,         417,          49,         222.8,            .0,          55.7,         132.3,          34.8,       4072.7,         828.5,       2903.1,         341.1
Bloomington Police Dept,IN,12,      81636,         243,           3,          18,          42,         180,       3244,         622,       2471,         151,         297.7,           3.7,          22.0,          51.4,         220.5,       3973.7,         761.9,       3026.9,         185.0
Brownsburg Police Dept,IN,12,      21729,          23,           0,           1,           4,          18,         327,          46,         269,          12,         105.8,            .0,           4.6,          18.4,          82.8,       1504.9,         211.7,       1238.0,          55.2
Carmel Police Dept,IN,12,      81819,          11,           0,           2,           6,           3,         808,         113,         649,          46,          13.4,            .0,           2.4,           7.3,           3.7,         987.5,         138.1,         793.2,          56.2
Cedar Lake Police Dept,IN,12,      11585,          15,           1,           2,           0,          12,         296,          61,         225,          10,         129.5,           8.6,          17.3,            .0,         103.6,       2555.0,         526.5,       1942.2,          86.3
Chesterton Police Dept,IN,12,      13204,          14,           0,           1,           2,          11,         214,          40,         159,          15,         106.0,            .0,           7.6,          15.1,          83.3,       1620.7,         302.9,       1204.2,         113.6
Clark County Sheriff Department,IN,11,,          51,           0,           5,           5,          41,         519,         229,         264,          26,,,,,,,,,
Clarksville Police Dept,IN,12,      22057,         120,           1,           6,          21,          92,       1597,         188,       1352,          57,         544.0,           4.5,          27.2,          95.2,         417.1,       7240.3,         852.3,       6129.6,         258.4
Columbus Police Dept,IN,12,      44817,          83,           1,          12,          22,          48,       2210,         262,       1768,         180,         185.2,           2.2,          26.8,          49.1,         107.1,       4931.2,         584.6,       3944.9,         401.6
Crawfordsville City Police Dept,IN,12,      16092,          41,           0,           3,           4,          34,         589,         147,         417,          25,         254.8,            .0,          18.6,          24.9,         211.3,       3660.2,         913.5,       2591.3,         155.4
Crown Point Police Dept,IN,12,      27890,           7,           0,           2,           2,           3,         514,          56,         435,          23,          25.1,            .0,           7.2,           7.2,          10.8,       1843.0,         200.8,       1559.7,          82.5
Dearborn County Sheriff Department,IN,11,,           1,           0,           1,           0,           0,          14,          10,           4,           0,,,,,,,,,
Delaware,IN,12,,          38,           0,           1,           1,          36,         489,         181,         286,          22,,,,,,,,,
Dyer Police Dept,IN,12,      16427,           7,           2,           0,           3,           2,         291,          24,         249,          18,          42.6,          12.2,            .0,          18.3,          12.2,       1771.5,         146.1,       1515.8,         109.6
East Chicago Police Dept,IN,12,      29764,         220,           3,           9,          88,         120,       1754,         560,       1025,         169,         739.1,          10.1,          30.2,         295.7,         403.2,       5893.0,       1881.5,       3443.8,         567.8
Elkhart County Sheriff Department,IN,12,,          46,           3,          13,          19,          11,       1411,         428,         895,          88,,,,,,,,,
Elkhart Police Dept,IN,9,      51481,         527,           2,          24,          63,         438,       1855,         451,       1281,         123,,,,,,,,,
Evansville Police Dept,IN,12,     118194,         560,           8,          56,         199,         297,       6083,       1132,       4531,         420,         473.8,           6.8,          47.4,         168.4,         251.3,       5146.6,         957.7,       3833.5,         355.3
Fishers Police Dept,IN,12,      79375,          14,           0,           1,           9,           4,         821,         101,         693,          27,          17.6,            .0,           1.3,          11.3,           5.0,       1034.3,         127.2,         873.1,          34.0
Floyd County Sheriff Department,IN,12,,           5,           0,           1,           1,           3,         627,         136,         450,          41,,,,,,,,,
Fort Wayne Police Dept,IN,12,     256625,         931,          22,          93,         447,         369,       9515,       2025,       7073,         417,         362.8,           8.6,          36.2,         174.2,         143.8,       3707.7,         789.1,       2756.2,         162.5
Frankfort Police Dept,IN,12,      16416,          61,           0,           7,          12,          42,         760,         109,         618,          33,         371.6,            .0,          42.6,          73.1,         255.8,       4629.6,         664.0,       3764.6,         201.0
Franklin City Police Dept,IN,12,      24115,          60,           0,           0,          13,          47,       1062,         126,         920,          16,         248.8,            .0,            .0,          53.9,         194.9,       4403.9,         522.5,       3815.1,          66.3
Gary Police Dept,IN,12,      80472,         728,          37,          56,         275,         360,       4475,       1634,       2066,         775,         904.7,          46.0,          69.6,         341.7,         447.4,       5560.9,       2030.5,       2567.4,         963.1
Goshen Police Dept,IN,12,      32034,          47,           1,          13,          22,          11,       1143,         200,         876,          67,         146.7,           3.1,          40.6,          68.7,          34.3,       3568.1,         624.3,       2734.6,         209.2
Grant County Sheriff Department,IN,12,,          15,           0,           5,           1,           9,         289,         100,         183,           6,,,,,,,,,
Greene County Sheriff Department,IN,12,,           2,           0,           2,           0,           0,         189,          37,         137,          15,,,,,,,,,
Greenfield City Police Dept,IN,12,      20819,          19,           1,           0,          10,           8,         398,          60,         318,          20,          91.3,           4.8,            .0,          48.0,          38.4,       1911.7,         288.2,       1527.5,          96.1
Greensburg Police Dept,IN,12,      11617,          33,           0,           0,           1,          32,         115,           8,         105,           2,         284.1,            .0,            .0,           8.6,         275.5,         989.9,          68.9,         903.8,          17.2
Greenwood Police Dept,IN,12,      51746,         191,           1,           3,          19,         168,       1809,         207,       1543,          59,         369.1,           1.9,           5.8,          36.7,         324.7,       3495.9,         400.0,       2981.9,         114.0
Griffith Police Dept,IN,8,      16930,          32,           0,           4,           7,          21,         399,          36,         335,          28,,,,,,,,,
Hammond Police Dept,IN,12,      81010,         665,           6,          18,         192,         449,       3448,         936,       2143,         369,         820.9,           7.4,          22.2,         237.0,         554.3,       4256.3,       1155.4,       2645.4,         455.5
Hancock County Sheriff Department,IN,12,,          14,           0,           5,           2,           7,         273,         113,         143,          17,,,,,,,,,
Harrison County Sheriff Department,IN,12,,          24,           0,           2,           4,          18,         400,         100,         267,          33,,,,,,,,,
Henry County Sheriff Department,IN,12,,           6,           0,           3,           2,           1,         600,         227,         347,          26,,,,,,,,,
Highland Police Dept,IN,12,      23779,          25,           1,           2,          10,          12,         713,          98,         571,          44,         105.1,           4.2,           8.4,          42.1,          50.5,       2998.4,         412.1,       2401.3,         185.0
Hobart Police Dept,IN,12,      29122,          51,           0,           6,          21,          24,       1447,         110,       1253,          84,         175.1,            .0,          20.6,          72.1,          82.4,       4968.8,         377.7,       4302.6,         288.4
Howard County Sheriff Department,IN,12,,          39,           0,           2,           1,          36,         453,         208,         239,           6,,,,,,,,,
Huntington Police Dept,IN,12,      17486,          31,           0,          10,           4,          17,         467,          65,         388,          14,         177.3,            .0,          57.2,          22.9,          97.2,       2670.7,         371.7,       2218.9,          80.1
Indianapolis Police Dept,IN,12,     838650,       9942,          97,         436,       3442,       5967,      46898,      14774,      27525,       4599,       1185.5,          11.6,          52.0,         410.4,         711.5,       5592.1,       1761.6,       3282.1,         548.4
Jasper Police Dept,IN,12,      15193,           6,           0,           0,           0,           6,         160,          27,         122,          11,          39.5,            .0,            .0,            .0,          39.5,       1053.1,         177.7,         803.0,          72.4
Jeffersonville Police Dept,IN,12,      45640,         436,           2,           2,          36,         396,       1946,         410,       1394,         142,         955.3,           4.4,           4.4,          78.9,         867.7,       4263.8,         898.3,       3054.3,         311.1
Johnson County Sheriff Department,IN,12,,          68,           0,           1,          10,          57,         735,         163,         553,          19,,,,,,,,,
Kokomo Police Dept,IN,12,      45636,         177,           4,          15,          61,          97,       1857,         462,       1294,         101,         387.9,           8.8,          32.9,         133.7,         212.6,       4069.2,       1012.4,       2835.5,         221.3
Koscuiko County Sheriff Office,IN,8,,          29,           1,           3,           0,          25,         383,          71,         301,          11,,,,,,,,,
La Porte County Sheriff Department,IN,7,,          10,           0,           3,           3,           4,         420,         175,         226,          19,,,,,,,,,
Laporte City Police Dept,IN,12,      22102,          28,           0,           4,           9,          15,       1079,         188,         855,          36,         126.7,            .0,          18.1,          40.7,          67.9,       4881.9,         850.6,       3868.4,         162.9
Lafayette Police Dept,IN,12,      68160,         407,           1,          36,          69,         301,       3293,         713,       2382,         198,         597.1,           1.5,          52.8,         101.2,         441.6,       4831.3,       1046.1,       3494.7,         290.5
Lagrange Co Sheriffs Office,IN,12,,          14,           1,           0,           3,          10,         251,          75,         164,          12,,,,,,,,,
