Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Appleton Police Dept,WI,12,73431,213,0,28,22,163,1392,254,1111,27,290.1,0,38.1,30,222,1895.7,345.9,1513,36.8
Ashwaubenon Police Dept,WI,12,17204,41,1,6,2,32,662,55,594,13,238.3,5.8,34.9,11.6,186,3847.9,319.7,3452.7,75.6
Baraboo Police Dept,WI,12,12138,25,0,4,2,19,446,52,388,6,206,0,33,16.5,156.5,3674.4,428.4,3196.6,49.4
Barron County Sheriff Department,WI,12,,2,0,0,1,1,213,100,101,12,,,,,,,,,
Beaver Dam Police Dept,WI,12,16235,8,0,0,3,5,490,83,402,5,49.3,0,0,18.5,30.8,3018.2,511.2,2476.1,30.8
Beloit City Police Dept,WI,12,37008,119,1,8,38,72,1294,299,946,49,321.6,2.7,21.6,102.7,194.6,3496.5,807.9,2556.2,132.4
Brookfield City Police Dept,WI,12,38098,19,3,1,4,11,1108,85,1012,11,49.9,7.9,2.6,10.5,28.9,2908.3,223.1,2656.3,28.9
Brown County Sheriff Department,WI,12,,115,1,11,7,96,765,202,539,24,,,,,,,,,
Brown Deer Police Dept,WI,12,12092,14,0,0,2,12,331,55,265,11,115.8,0,0,16.5,99.2,2737.3,454.8,2191.5,91
Burlington City Police Dept,WI,12,10490,16,0,2,2,12,292,24,266,2,152.5,0,19.1,19.1,114.4,2783.6,228.8,2535.7,19.1
Caledonia Police Dept,WI,12,24764,55,0,2,5,48,348,85,256,7,222.1,0,8.1,20.2,193.8,1405.3,343.2,1033.8,28.3
Calumet County Sheriff Department,WI,12,,15,0,3,2,10,150,38,101,11,,,,,,,,,
Cedarburg Police Dept,WI,12,11465,2,0,0,0,2,127,14,111,2,17.4,0,0,0,17.4,1107.7,122.1,968.2,17.4
Chippewa County Sheriff Department,WI,12,,21,0,9,0,12,381,132,237,12,,,,,,,,,
Chippewa Falls,WI,12,13773,28,0,3,4,21,219,55,154,10,203.3,0,21.8,29,152.5,1590.1,399.3,1118.1,72.6
Clark County Sheriff Office,WI,12,,98,0,0,1,97,195,66,112,17,,,,,,,,,
Columbia County Sheriff Office,WI,12,,33,0,11,0,22,377,137,226,14,,,,,,,,,
Cudahy Police Dept,WI,11,18406,42,2,4,16,20,447,80,350,17,,,,,,,,,
Dane County Sheriff Department,WI,12,,33,3,11,3,16,843,220,592,31,,,,,,,,,
De Pere Police Dept,WI,12,24122,20,3,5,1,11,285,49,231,5,82.9,12.4,20.7,4.1,45.6,1181.5,203.1,957.6,20.7
Dodge County Sheriff Department,WI,12,,27,0,6,2,19,299,80,204,15,,,,,,,,,
Dunn County Sheriff Department,WI,12,,51,0,6,1,44,202,55,133,14,,,,,,,,,
Eau Claire County Sheriff Department,WI,12,,19,0,5,3,11,275,114,159,2,,,,,,,,,
Eau Claire Police Dept,WI,12,66794,110,4,22,13,71,1698,306,1349,43,164.7,6,32.9,19.5,106.3,2542.1,458.1,2019.6,64.4
Elkhorn Police Dept,WI,12,10144,6,0,0,1,5,216,29,184,3,59.1,0,0,9.9,49.3,2129.3,285.9,1813.9,29.6
Everest Metro  Police Dept,WI,12,17123,16,1,1,1,13,352,67,275,10,93.4,5.8,5.8,5.8,75.9,2055.7,391.3,1606,58.4
Fitchburg City Police Dept,WI,12,25731,52,3,5,11,33,491,80,395,16,202.1,11.7,19.4,42.7,128.2,1908.2,310.9,1535.1,62.2
