,Agency Name,Department,Address,Phone Number,Number of Officers,Population Served,Agency Type
0,IA,Adair County Sheriff's Office,"306 E Iowa StPO Box 206 Greenfield, IA 50849",641-743-2148,5.0,"8,243",Sheriff
1,IA,Adair Police Department,"P.O. Box 66  Adair, IA 50002",641-742-3615,1.0,839,Local Police
2,IA,Adams County Sheriff's Office,"901 Davis AvePO Box 346 Corning, IA 50841",641-322-4444,6.0,"4,482",Sheriff
3,IA,Adel Police Department,"P.O. Box 127  Adel, IA 50003",515-993-4525,8.0,"3,435",Local Police
4,IA,Afton Police Department,"P.O. Box 199  Afton, IA 50830",515-347-5224,1.0,917,Local Police
5,IA,Akron Police Department,"P.O. Box 318  Akron, IA 51001",712-568-2041,2.0,"1,489",Local Police
6,IA,Albia Police Department,"103 2Nd Ave W  Albia, IA 52531",641-932-7815,6.0,"3,706",Local Police
7,IA,Algona Police Department,"112 W Call  Algona, IA 50511",515-295-3515,10.0,"5,741",Local Police
8,IA,Allamakee County Sheriff's Office,"110 Allamakee StPO Box 289 Waukon, IA 52172",319-568-4521,8.0,"14,675",Sheriff
9,IA,Alta Police Department,"223 S Main St  Alta, IA 51002",712-284-2251,3.0,"1,865",Local Police
10,IA,Altoona Police Department,"700 1St Ave S  Altoona, IA 50009",515-967-5132,23.0,"10,345",Local Police
11,IA,Ames Police Department,"515 Clark  Ames, IA 50010",515-239-5131,51.0,"50,731",Local Police
13,IA,Anita Police Department,"P.O. Box 246  Anita, IA 50020",712-762-3746,1.0,"1,049",Local Police
14,IA,Ankeny Police Department,"211 Sw Walnut  Ankeny, IA 50023",515-289-5240,48.0,"48,000",Local Police
16,IA,Aplington Police Department,"P.O. Box 21  Aplington, IA 50604",319-347-2424,2.0,"1,054",Local Police
17,IA,Appanoose County Sheriff's Office,"1125 W Van Buren StPO Box 474 Centerville, IA 52544",641-437-7100,8.0,"13,721",Sheriff
18,IA,Armstrong Police Department,"P.O. Box 229  Armstrong, IA 50514",712-864-3535,1.0,979,Local Police
19,IA,Arnolds Park Police Department,"P.O. Box 437  Arnolds Park, IA 51331",712-332-2227,5.0,"1,162",Local Police
20,IA,Asbury Police Department,"4985 Asbury Rd.  Asbury, IA 52002",319-556-7106,4.0,"2,450",Local Police
21,IA,Atlantic Police Department,"23 E 4Th St  Atlantic, IA 50022",712-243-3512,12.0,"7,257",Local Police
22,IA,Audubon County Sheriff's Office,"318 Leroy StPO Box 262 Audubon, IA 50025",712-563-2631,5.0,"6,830",Sheriff
23,IA,Audubon Police Department,"410 N Park Pl  Audubon, IA 50025",712-563-2500,3.0,"2,382",Local Police
24,IA,Aurelia Police Department,"P.O. Box 328  Aurelia, IA 51005",712-434-5912,1.0,"1,062",Local Police
25,IA,Avoca Police Department,"P.O. Box 246  Avoca, IA 51521",712-343-2424,2.0,"1,610",Local Police
26,IA,Baxter Police Department,"P.O. Box 415  Baxter, IA 50028",641-227-3694,2.0,"1,052",Local Police
28,IA,Belle Plaine Police Department,"1207 8Th Ave  Belle Plaine, IA 52208",314-444-2323,4.0,"2,878",Local Police
29,IA,Bellevue Police Department,"106 N 3Rd St  Bellevue, IA 52031",319-872-4545,5.0,"2,350",Local Police
