IA,Ackley Police Department,,"208 State St  Ackley, IA 50601",641-847-3332,4,"1,809",Local Police
IA,Adair County Sheriff's Office,,"306 E Iowa StPO Box 206 Greenfield, IA 50849",641-743-2148,5,"8,243",Sheriff
IA,Adair Police Department,,"P.O. Box 66  Adair, IA 50002",641-742-3615,1,839,Local Police
IA,Adams County Sheriff's Office,,"901 Davis AvePO Box 346 Corning, IA 50841",641-322-4444,6,"4,482",Sheriff
IA,Adel Police Department,,"P.O. Box 127  Adel, IA 50003",515-993-4525,8,"3,435",Local Police
IA,Afton Police Department,,"P.O. Box 199  Afton, IA 50830",515-347-5224,1,917,Local Police
IA,Akron Police Department,,"P.O. Box 318  Akron, IA 51001",712-568-2041,2,"1,489",Local Police
IA,Albia Police Department,,"103 2Nd Ave W  Albia, IA 52531",641-932-7815,6,"3,706",Local Police
IA,Algona Police Department,,"112 W Call  Algona, IA 50511",515-295-3515,10,"5,741",Local Police
IA,Allamakee County Sheriff's Office,,"110 Allamakee StPO Box 289 Waukon, IA 52172",319-568-4521,8,"14,675",Sheriff
IA,Alta Police Department,,"223 S Main St  Alta, IA 51002",712-284-2251,3,"1,865",Local Police
IA,Altoona Police Department,,"700 1St Ave S  Altoona, IA 50009",515-967-5132,23,"10,345",Local Police
IA,Ames Police Department,,"515 Clark  Ames, IA 50010",515-239-5131,51,"50,731",Local Police
IA,Anamosa Police Department,,"100 E 1St St  Anamosa, IA 52205",,7,,Local Police
IA,Anita Police Department,,"P.O. Box 246  Anita, IA 50020",712-762-3746,1,"1,049",Local Police
IA,Ankeny Police Department,,"211 Sw Walnut  Ankeny, IA 50023",515-289-5240,48,"48,000",Local Police
IA,Anthon Police Department,,"P.O. Box 160  Anthon, IA 51004",,1,,Local Police
IA,Aplington Police Department,,"P.O. Box 21  Aplington, IA 50604",319-347-2424,2,"1,054",Local Police
IA,Appanoose County Sheriff's Office,,"1125 W Van Buren StPO Box 474 Centerville, IA 52544",641-437-7100,8,"13,721",Sheriff
IA,Armstrong Police Department,,"P.O. Box 229  Armstrong, IA 50514",712-864-3535,1,979,Local Police
IA,Arnolds Park Police Department,,"P.O. Box 437  Arnolds Park, IA 51331",712-332-2227,5,"1,162",Local Police
IA,Asbury Police Department,,"4985 Asbury Rd.  Asbury, IA 52002",319-556-7106,4,"2,450",Local Police
IA,Atlantic Police Department,,"23 E 4Th St  Atlantic, IA 50022",712-243-3512,12,"7,257",Local Police
IA,Audubon County Sheriff's Office,,"318 Leroy StPO Box 262 Audubon, IA 50025",712-563-2631,5,"6,830",Sheriff
IA,Audubon Police Department,,"410 N Park Pl  Audubon, IA 50025",712-563-2500,3,"2,382",Local Police
IA,Aurelia Police Department,,"P.O. Box 328  Aurelia, IA 51005",712-434-5912,1,"1,062",Local Police
IA,Avoca Police Department,,"P.O. Box 246  Avoca, IA 51521",712-343-2424,2,"1,610",Local Police
IA,Baxter Police Department,,"P.O. Box 415  Baxter, IA 50028",641-227-3694,2,"1,052",Local Police
IA,Bedford Police Department,,"625 Court St  Bedford, IA 50833",,3,,Local Police
IA,Belle Plaine Police Department,,"1207 8Th Ave  Belle Plaine, IA 52208",314-444-2323,4,"2,878",Local Police
IA,Bellevue Police Department,,"106 N 3Rd St  Bellevue, IA 52031",319-872-4545,5,"2,350",Local Police
IA,Belmond Police Department,,"112 2Nd Ave Ne  Belmond, IA 50421",641-444-3357,5,"2,560",Local Police
IA,Benton County Sheriff's Office,,"901 D Avenue  Vinton, IA 52349",319-472-2337,12,"25,308",Sheriff
IA,Bettendorf Police Department,,"1609 State St  Bettendorf, IA 52722",563-344-4030,45,"31,275",Local Police
IA,Black Hawk County Sheriff's Office,,"225 E 6Th St  Waterloo, IA 50703",319-291-2587,98,"128,012",Sheriff
IA,Bloomfield Police Department,,"110 W Franklin  Bloomfield, IA 52537",641-664-2700,5,"2,601",Local Police
IA,Blue Grass Police Department,,"114 N Mississippi  Blue Grass, IA 52726",319-381-2800,2,"1,169",Local Police
IA,Boone County Sheriff's Office,,"1019 W Mamie Eisenhower Ave  Boone, IA 50036",515-433-0524,11,"26,224",Sheriff
IA,Boone Police Department,,"923 8Th St  Boone, IA 50036",515-432-3456,15,"12,803",Local Police
