state,department_name,address,phone,site
Alabama,Abbeville Police Department,"101 East Washington Street Abbeville, AL 36310",334-585-2221,NA
Alabama,Adamsville Police Department,"4905 Main Street Adamsville, AL 35005",205-674-5671,NA
Alabama,Addison Police Department,"16323 County Road 41 Addison, AL 35540",256-747-1981,NA
Alabama,Alabama AM University Police Department,"4900 Meridian Street Normal, AL 35762",256-372-5555,NA
Alabama,Alabama Highway Patrol,"301 South Ripley Street Montgomery, AL 36104",334-242-437,NA
Alabama,Alabama State University Police Department,"915 South Jackson Street Montgomery, AL 36104",334-229-4400,www.alasu.edu
Alabama,Alabaster Police Department,"201 1st Street North Alabaster, AL 35007",205-663-7401,www.cityofalabaster.com
Alabama,Albertville Police Department,"201 South Broad Street Albertville, AL 35950",256-878-1212,www.cityofalbertville.com
Alabama,Alexander City Police Department,"1 Court Square Alexander City, AL 35011",256-397-1023,www.alexandercityonline.com
Alabama,Aliceville Police Department,"215 First Street NE Aliceville, AL 35442",205-373-6631,NA
Alabama,Altoona Police Department,,205-589-2311,NA
Alabama,Andalusia Police Department,"102 Opp Avenue Andalusia, AL 36420",334-222-1155,NA
Alabama,Anniston Police Department,"1200 Gurnee Avenue Anniston, AL 36201",256-238-1800,www.annistonal.gov
Alabama,Arab Police Department,"740 North Main Street Arab, AL 35016",256-586-7525,www.arabcity.org
Alabama,Ardmore Police Department,"26704 Main Street Ardmore, AL 35739",256-423-2146,NA
Alabama,Ashford Police Department,"519 North Broadway Street Ashford, AL 36312",334-899-5113,NA
Alabama,Ashland Police Department,"54 Court Square Ashland, AL 36251",256-354-2122,www.cityofashland.net
Alabama,Ashville Police Department,"7th Avenue and 6th Street Ashville, AL 35953",205-594-4151,NA
Alabama,Athens Police Department,"951 E Hobbs Street Athens, AL 35611",256-233-8700,www.athensalabama.us
Alabama,Atmore Police Department,"201 E Louisville Avenue Atmore, AL 36504",251-368-9141,NA
Alabama,Attalla Police Department,"302 6th Avenue NW Attalla, AL 35954",256-538-7837,NA
Alabama,Auburn Police Department,"161 N Ross Street Auburn, AL 36830",334-501-3110,www.auburnalabama.org
Alabama,AUM Campus Police Department,,334-271-2400,NA
Alabama,Autauga County Sheriff's Office,"162 W 4th Street Prattville, AL 36067",334-365-3211,www.autaugaco.org
Alabama,Autaugaville Police Department,"109 N Taylor Street Autaugaville, AL 36003",334-365-9335,NA
Alabama,Baker Hill Police Department,"2230 Highway131 Eufalula, AL 36027",334-616-6888,NA
Alabama,Baldwin County Sheriff's Office,"310 Hand Avenue Bay Minette, AL 36507",251-937-0210,www.sheriffofbaldwin.com
Alabama,Barbour County Sheriff's Department,"113 Court Sq Clayton, AL 36016",334-775-3434,NA
Alabama,Bay Minette Police Department,"300 N Hoyle Avenue Bay Minette, AL 36507",251-580-2559,NA
Alabama,Bayou La Batre Police Department,"13765 S Wintzell Bayou La Batre, AL 36509",251-824-2757,NA
Alabama,Bear Creek Police Department,,205-486-4707,NA
Alabama,Berry Police Department,"30 School Avenue Berry, AL 35546",205-689-4562,NA
Alabama,Bessemer Police Department,"23 N 15th Street North Bessemer, AL 35020",205-425-2411,NA
Alabama,Bevill State Police Department,"101 State Street Sumiton, AL 35148",205-648-3271,NA
Alabama,Bibb County Sheriff's Office,"183 S W Davidson Drive Centreville, AL 35042",205-926-3129,NA
Alabama,Birmingham Police Department,"1710 1st Avenue N Birmingham, AL 35203",205-254-1765,www.informationbirmingham.com
Alabama,Blount County Sheriff's Department,"225 Industrail Park Drive Oneonta, AL 35121",205-625-4127,NA
Alabama,Blountsville Police Department,"10017 Lee Street W Blountsville, AL 35031",205-429-3479,NA
Alabama,Boaz Police Department,"101 Line Avenue Boaz, AL 35957",256-593-6812,www.cityofboaz.org
Alabama,Branchville Police Department,"40 Blair Farm Road Branchville, AL 35120",205-629-5165,NA
Alabama,Brantley Police Department,"10 Main Street N Brantley, AL 36009",334-527-3244,NA
Alabama,Brent Police Department,"22 1st Street Brent, AL 35034",205-926-4643,NA
Alabama,Brewton Police Department,"1010 A Douglas Avenue Brewton, AL 36426",251-867-3212,NA
Alabama,Bridgeport Police Department,,256-495-3040,NA
Alabama,Brighton Police Department,"3700 Main Street Brighton, AL 35020",205-425-8934,NA
Alabama,Brilliant Police Department,,205-465-2254,NA
Alabama,Brookside Police Department,,205-674-9275,NA
Alabama,Brookwood Police Department,"15689 Highway 216 Brookwood, AL 35444",205-556-1300,NA
Alabama,Brundidge Police Department,"102 N Main Street Brundidge, AL 36010",334-735-3333,NA
Alabama,BSC Campus Police Department,"900 Arkadelphia Road Birmingham, AL 35254",205-226-4700,www.bsc.edu
Alabama,Bullock County Sheriff's Department,"217 N Prairie Street Union Springs, AL 36089",334-738-2670,NA
Alabama,Butler County Sheriff's Department,"Butler County Courthouse Greenville, AL 36037",334-382-6521,NA
Alabama,Butler Police Department,"114 N Academy Butler, AL 36904",205-459-3793,NA
Alabama,Calera Police Department,"10947 Highway 25 Calera, AL 35040",205-668-3505,www.cityofcalera.org
Alabama,Calhoun County Sheriff's Office,"400 W 8th Street Anniston, AL 36201",256-236-6600,www.calcoso.org
Alabama,Camden Police Department,"108 Water Street Camden, AL 36726",334-682-4815,NA
Alabama,Camp Hill Police Department,"309 Holley Avenue Camp Hill, AL 36850",256-896-4148,NA
Alabama,Carbon Hill Police Department,,205-924-4411,NA
Alabama,Carrollton Police Department,"100 Court Sq Carrollton, AL 35447",205-367-8711,NA
Alabama,Castleberry Police Department,,251-966-2141,NA
Alabama,Cedar Bluff Police Department,"4920 Main Street Cedar Bluff, AL 35959",256-779-6835,NA
Alabama,Centre Police Department,"100 Cedar Bluff Road Centre, AL 35960",256-927-3661,NA
Alabama,Centreville Police Department,"1254 Walnut Street Centreville, AL 35042",205-926-5052,NA
Alabama,Chambers County Sheriff's Department,"2 N Lafayette Street LaFayette, AL 36862",334-864-4333,NA
Alabama,Chatom Police Department,"101 Cochran Avenue Chatom, AL 36518",256-847-2117,NA
Alabama,Cherokee County Sheriff's Department,"100 Cedar Bluff Road Centre, AL 35960",256-927-3365,NA
Alabama,Cherokee Police Department,"3752 Old Lee Highway Cherokee, AL 36516",256-359-4959,NA
Alabama,Chickasaw Police Department,"8 Lange Drive Chickasaw, AL 36611",251-452-6470,NA
Alabama,Childersburg Police Department,"118 6th Avenue SW Childersburg, AL 35044",256-378-5568,www.childersburg.org
Alabama,Chilton County Sheriff's Department,"500 2nd Avenue N Clanton, AL 35045",205-755-4698,www.chiltoncountyso.org
Alabama,Choctaw County Sheriff's Department,"117 S Mulberry Street Butler, AL 36904",205-459-2166,NA
Alabama,Citronelle Police Department,"19135 Main Street Citronelle, AL 36522",251-866-5527,NA
Alabama,Clanton Police Department,"601 1st Avenue N Clanton, AL 35045",205-755-2511,www.clanton.al.us
Alabama,Clarke County Sheriff's Office,,251-275-8156,NA
Alabama,Clay County Sheriff's Department,"41771 Highway 77 Ashland, AL 36251",256-354-2176,NA
Alabama,Clayhatchee Police Department,"1 W Main Street Daleville, AL 36322",334-598-4321,NA
Alabama,Clayton Police Department,"6 S Midway Clayton, AL 36016",334-775-8011,NA
