id,department,address_type,input_address,fixed_address,address,po_box,city,state,zip_code,geocode_results,latitude,longitude,google_formatted_address
0,Adair County Sheriff's Office,Street Address,"306 E Iowa StPO Box 206 Greenfield, IA 50849","306 E Iowa St PO Box 206 Greenfield, IA 50849",306 E Iowa St,PO Box 206,Greenfield,IA,50849,RANGE_INTERPOLATED,41.3051174,-94.4577463,"306 E Iowa St, Greenfield, IA 50849, USA"
1,Adair Police Department,PO Box,"P.O. Box 66  Adair, IA 50002","P.O. Box 66 Adair, IA 50002",,P.O. Box 66,Adair,IA,50002,APPROXIMATE,41.50043,-94.6433504,"Adair, IA 50002, USA"
2,Adams County Sheriff's Office,Street Address,"901 Davis AvePO Box 346 Corning, IA 50841","901 Davis Ave PO Box 346 Corning, IA 50841",901 Davis Ave,PO Box 346,Corning,IA,50841,RANGE_INTERPOLATED,40.990944,-94.73445939999999,"901 Davis Ave, Corning, IA 50841, USA"
3,Adel Police Department,PO Box,"P.O. Box 127  Adel, IA 50003","P.O. Box 127 Adel, IA 50003",,P.O. Box 127,Adel,IA,50003,APPROXIMATE,41.6144325,-94.017453,"Adel, IA 50003, USA"
4,Afton Police Department,PO Box,"P.O. Box 199  Afton, IA 50830","P.O. Box 199 Afton, IA 50830",,P.O. Box 199,Afton,IA,50830,APPROXIMATE,41.0284183,-94.1975786,"Afton, IA 50830, USA"
5,Akron Police Department,PO Box,"P.O. Box 318  Akron, IA 51001","P.O. Box 318 Akron, IA 51001",,P.O. Box 318,Akron,IA,51001,APPROXIMATE,42.8288818,-96.5594773,"Akron, IA 51001, USA"
6,Albia Police Department,Street Address,"103 2Nd Ave W  Albia, IA 52531","103 2Nd Ave W Albia, IA 52531",103 2Nd Ave W,,Albia,IA,52531,RANGE_INTERPOLATED,41.0252361,-92.80960759999999,"103 2nd Ave W, Albia, IA 52531, USA"
7,Algona Police Department,Street Address,"112 W Call  Algona, IA 50511","112 W Call Algona, IA 50511",112 W Call,,Algona,IA,50511,ROOFTOP,43.0700901,-94.2387857,"112 W Call St, Algona, IA 50511, USA"
8,Allamakee County Sheriff's Office,Street Address,"110 Allamakee StPO Box 289 Waukon, IA 52172","110 Allamakee St PO Box 289 Waukon, IA 52172",110 Allamakee St,PO Box 289,Waukon,IA,52172,ROOFTOP,43.27063099999999,-91.47619979999999,"110 Allamakee St NW, Waukon, IA 52172, USA"
9,Alta Police Department,Street Address,"223 S Main St  Alta, IA 51002","223 S Main St Alta, IA 51002",223 S Main St,,Alta,IA,51002,ROOFTOP,42.672762,-95.30380199999999,"223 S Main St, Alta, IA 51002, USA"
10,Altoona Police Department,Street Address,"700 1St Ave S  Altoona, IA 50009","700 1St Ave S Altoona, IA 50009",700 1St Ave S,,Altoona,IA,50009,ROOFTOP,41.6453298,-93.4649486,"700 1st Ave S, Altoona, IA 50009, USA"
11,Ames Police Department,Street Address,"515 Clark  Ames, IA 50010","515 Clark Ames, IA 50010",515 Clark,,Ames,IA,50010,ROOFTOP,42.02635050000001,-93.6177187,"515 Clark Ave, Ames, IA 50010, USA"
13,Anita Police Department,PO Box,"P.O. Box 246  Anita, IA 50020","P.O. Box 246 Anita, IA 50020",,P.O. Box 246,Anita,IA,50020,APPROXIMATE,41.4438761,-94.764146,"Anita, IA 50020, USA"
14,Ankeny Police Department,Street Address,"211 Sw Walnut  Ankeny, IA 50023","211 Sw Walnut Ankeny, IA 50023",211 Sw Walnut,,Ankeny,IA,50023,ROOFTOP,41.730346,-93.605683,"211 SW Walnut St, Ankeny, IA 50023, USA"
16,Aplington Police Department,PO Box,"P.O. Box 21  Aplington, IA 50604","P.O. Box 21 Aplington, IA 50604",,P.O. Box 21,Aplington,IA,50604,APPROXIMATE,42.5820329,-92.8845695,"Aplington, IA 50604, USA"
17,Appanoose County Sheriff's Office,Street Address,"1125 W Van Buren StPO Box 474 Centerville, IA 52544","1125 W Van Buren St PO Box 474 Centerville, IA 52544",1125 W Van Buren St,PO Box 474,Centerville,IA,52544,RANGE_INTERPOLATED,40.7349512,-92.8844688,"1125 W Van Buren St, Centerville, IA 52544, USA"
18,Armstrong Police Department,PO Box,"P.O. Box 229  Armstrong, IA 50514","P.O. Box 229 Armstrong, IA 50514",,P.O. Box 229,Armstrong,IA,50514,APPROXIMATE,43.3960697,-94.4783082,"Armstrong, IA 50514, USA"
19,Arnolds Park Police Department,PO Box,"P.O. Box 437  Arnolds Park, IA 51331","P.O. Box 437 Arnolds Park, IA 51331",,P.O. Box 437,Arnolds Park,IA,51331,APPROXIMATE,43.3727408,-95.1238841,"Arnolds Park, IA, USA"
20,Asbury Police Department,Street Address,"4985 Asbury Rd.  Asbury, IA 52002","4985 Asbury Rd. Asbury, IA 52002",4985 Asbury Rd.,,Asbury,IA,52002,RANGE_INTERPOLATED,42.5145427,-90.75040349999999,"4985 Asbury Rd, Asbury, IA 52002, USA"
21,Atlantic Police Department,Street Address,"23 E 4Th St  Atlantic, IA 50022","23 E 4Th St Atlantic, IA 50022",23 E 4Th St,,Atlantic,IA,50022,RANGE_INTERPOLATED,41.4069969,-95.0126767,"23 E 4th St, Atlantic, IA 50022, USA"
22,Audubon County Sheriff's Office,Street Address,"318 Leroy StPO Box 262 Audubon, IA 50025","318 Leroy St PO Box 262 Audubon, IA 50025",318 Leroy St,PO Box 262,Audubon,IA,50025,RANGE_INTERPOLATED,41.7216305,-94.9301632,"318 Leroy St, Audubon, IA 50025, USA"
23,Audubon Police Department,Street Address,"410 N Park Pl  Audubon, IA 50025","410 N Park Pl Audubon, IA 50025",410 N Park Pl,,Audubon,IA,50025,RANGE_INTERPOLATED,41.7217181,-94.9316628,"410 N Park Pl, Audubon, IA 50025, USA"
24,Aurelia Police Department,PO Box,"P.O. Box 328  Aurelia, IA 51005","P.O. Box 328 Aurelia, IA 51005",,P.O. Box 328,Aurelia,IA,51005,APPROXIMATE,42.71276,-95.4366701,"Aurelia, IA 51005, USA"
25,Avoca Police Department,PO Box,"P.O. Box 246  Avoca, IA 51521","P.O. Box 246 Avoca, IA 51521",,P.O. Box 246,Avoca,IA,51521,APPROXIMATE,41.4766571,-95.33805489999999,"Avoca, IA 51521, USA"
26,Baxter Police Department,PO Box,"P.O. Box 415  Baxter, IA 50028","P.O. Box 415 Baxter, IA 50028",,P.O. Box 415,Baxter,IA,50028,APPROXIMATE,41.8260998,-93.1515905,"Baxter, IA 50028, USA"
28,Belle Plaine Police Department,Street Address,"1207 8Th Ave  Belle Plaine, IA 52208","1207 8Th Ave Belle Plaine, IA 52208",1207 8Th Ave,,Belle Plaine,IA,52208,RANGE_INTERPOLATED,41.8963427,-92.2765865,"1207 8th Ave, Belle Plaine, IA 52208, USA"
29,Bellevue Police Department,Street Address,"106 N 3Rd St  Bellevue, IA 52031","106 N 3Rd St Bellevue, IA 52031",106 N 3Rd St,,Bellevue,IA,52031,ROOFTOP,42.258344,-90.4258127,"106 N 3rd St, Bellevue, IA 52031, USA"
30,Belmond Police Department,Street Address,"112 2Nd Ave Ne  Belmond, IA 50421","112 2Nd Ave Ne Belmond, IA 50421",112 2Nd Ave Ne,,Belmond,IA,50421,ROOFTOP,42.8466073,-93.61398349999999,"112 2nd Ave NE, Belmond, IA 50421, USA"
